Waktu Tarik,Sumber,Kategori,Judul,URL,Sentimen,Skor Sentimen
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,"Akhirnya, Erin Bisa Lepas Nama Taulany di Akun Instagram",https://hot.detik.com/celeb/d-8675685/akhirnya-erin-bisa-lepas-nama-taulany-di-akun-instagram,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,Fix! Polisi Hentikan Kasus Dugaan Penipuan Ruben Onsu,https://hot.detik.com/celeb/d-8675489/fix-polisi-hentikan-kasus-dugaan-penipuan-ruben-onsu,Negatif,-100.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,"Sudah S1 Sastra Mandarin di Tiongkok, Roland Judita Kuliah Lagi D4 Akupunktur",https://hot.detik.com/celeb/d-8675449/sudah-s1-sastra-mandarin-di-tiongkok-roland-judita-kuliah-lagi-d4-akupunktur,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,"Curhat Atalarik Syach 11 Tahun Hadapi Sengketa Tanah, Minta Pemerintah Tegas",https://hot.detik.com/celeb/d-8675463/curhat-atalarik-syach-11-tahun-hadapi-sengketa-tanah-minta-pemerintah-tegas,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,"Sengketa Eksekusi Lahan, Kuasa Hukum Atalarik Syach Beberkan Kejanggalan",https://hot.detik.com/celeb/d-8675334/sengketa-eksekusi-lahan-kuasa-hukum-atalarik-syach-beberkan-kejanggalan,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,Kimberly Ryder Angkat Isu Kesehatan Mental Ibu Rumah Tangga ke Teater,https://hot.detik.com/celeb/d-8674936/kimberly-ryder-angkat-isu-kesehatan-mental-ibu-rumah-tangga-ke-teater,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,Pengacara Betrand Peto Pastikan Gak Ada Penjebakan di Dugaan Penganiayaan,https://hot.detik.com/celeb/d-8673577/pengacara-betrand-peto-pastikan-gak-ada-penjebakan-di-dugaan-penganiayaan,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,Atalarik Syach Diperiksa Bawas MA Terkait Sengketa Eksekusi Lahan,https://hot.detik.com/celeb/d-8674944/atalarik-syach-diperiksa-bawas-ma-terkait-sengketa-eksekusi-lahan,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,Yusuf Kartiko Tegaskan Betrand Peto Gak Terlibat Keributan di Kelab Malam,https://hot.detik.com/celeb/d-8674922/yusuf-kartiko-tegaskan-betrand-peto-gak-terlibat-keributan-di-kelab-malam,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,Dude Harlino Dampingi Alyssa Soebandono Operasi Skoliosis,https://hot.detik.com/celeb/d-8672597/dude-harlino-dampingi-alyssa-soebandono-operasi-skoliosis,Netral,0.0
2026-09-26 10:37:58,DetikHot Celebs,Newsfeed,Cara Kimberly Ryder Berdamai dengan Masalah Hidup,https://hot.detik.com/celeb/d-8674640/cara-kimberly-ryder-berdamai-dengan-masalah-hidup,Netral,0.0
