Waktu Tarik,Sumber,Kategori,Judul,URL
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,BPBD Pandeglang : Belum Ada Kerusakan Imbas Getaran Erupsi Anak Krakatau,https://news.detik.com/berita/d-8650117/bpbd-pandeglang-belum-ada-kerusakan-imbas-getaran-erupsi-anak-krakatau
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,"Ponpes di Bogor Kebakaran, Sejumlah Santri Sesak Napas Dilarikan ke RS",https://news.detik.com/berita/d-8650096/ponpes-di-bogor-kebakaran-sejumlah-santri-sesak-napas-dilarikan-ke-rs
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,Walkot Pekanbaru Ajak Ulama & Santri Doakan RI Terbebas dari Karhutla,https://news.detik.com/berita/d-8650086/walkot-pekanbaru-ajak-ulama-santri-doakan-ri-terbebas-dari-karhutla
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,Paviliun Artha Graha Bawa Misi Edukasi Fauna ke Pasar Wiwitan SCBD,https://news.detik.com/berita/d-8650082/paviliun-artha-graha-bawa-misi-edukasi-fauna-ke-pasar-wiwitan-scbd
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,"Dikejar Gerombolan Matel, Sejoli di Bogor Ngadu ke Layanan 110 Polisi",https://news.detik.com/berita/d-8650068/dikejar-gerombolan-matel-sejoli-di-bogor-ngadu-ke-layanan-110-polisi
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,"Turis India Dijambret Saat Hendak ke Kuil di Menteng, Samsung S25 Raib",https://news.detik.com/berita/d-8650059/turis-india-dijambret-saat-hendak-ke-kuil-di-menteng-samsung-s25-raib
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,"Terkesan Sepele, Kelalaian soal Selotip Renggut Nyawa Puluhan Orang",https://news.detik.com/berita/d-8650054/terkesan-sepele-kelalaian-soal-selotip-renggut-nyawa-puluhan-orang
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,Analisis Pakar soal Dentuman di Bandung Diduga dari Erupsi Anak Krakatau,https://news.detik.com/berita/d-8650045/analisis-pakar-soal-dentuman-di-bandung-diduga-dari-erupsi-anak-krakatau
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,Muzani Harap Pemenang Lomba Baris Berbaris Nasional Jadi Duta 4 Pilar MPR,https://news.detik.com/berita/d-8650038/muzani-harap-pemenang-lomba-baris-berbaris-nasional-jadi-duta-4-pilar-mpr
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,"Kepergok Curi Uang Kotak Amal, Remaja di Bogor Dibawa Polisi",https://news.detik.com/berita/d-8650029/kepergok-curi-uang-kotak-amal-remaja-di-bogor-dibawa-polisi
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,Kapolrestro Bekasi Kota Terbitkan Maklumat tentang Keselamatan Pelajar,https://news.detik.com/berita/d-8650019/kapolrestro-bekasi-kota-terbitkan-maklumat-tentang-keselamatan-pelajar
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,"Mensos: Data BKKBN Tak Salah, Perubahan Desil Tak Otomatis Hentikan Bansos",https://news.detik.com/berita/d-8650017/mensos-data-bkkbn-tak-salah-perubahan-desil-tak-otomatis-hentikan-bansos
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,Ketua MPR Pastikan Semua Masukan Terkait Naskah PPHN Akan Dipelajari,https://news.detik.com/berita/d-8649997/ketua-mpr-pastikan-semua-masukan-terkait-naskah-pphn-akan-dipelajari
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,"Kecelakaan Beruntun di Kembangan Jakbar, Ada Korban Tergeletak",https://news.detik.com/berita/d-8649998/kecelakaan-beruntun-di-kembangan-jakbar-ada-korban-tergeletak
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,Kemendagri Minta Tim Pemantauan Identifikasi Akar Masalah Ekonomi Daerah,https://news.detik.com/berita/d-8649964/kemendagri-minta-tim-pemantauan-identifikasi-akar-masalah-ekonomi-daerah
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,Ketua MPR soal Kabar 8 WNI Direkrut Tentara Rusia: Tidak Dibenarkan,https://news.detik.com/berita/d-8649978/ketua-mpr-soal-kabar-8-wni-direkrut-tentara-rusia-tidak-dibenarkan
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,"Pemulihan di Aceh Singkil, Pembangunan Jembatan & Tanggul Jadi Prioritas",https://news.detik.com/berita/d-8649975/pemulihan-di-aceh-singkil-pembangunan-jembatan-tanggul-jadi-prioritas
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,Kilas Balik 4 Orang Selamat Kala Pesawat Jatuh Tewaskan 520 Orang,https://news.detik.com/berita/d-8649974/kilas-balik-4-orang-selamat-kala-pesawat-jatuh-tewaskan-520-orang
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,Wamendagri Dukung KDKMP Jadi Pusat Layanan Ekonomi Desa Terintegrasi,https://news.detik.com/berita/d-8649960/wamendagri-dukung-kdkmp-jadi-pusat-layanan-ekonomi-desa-terintegrasi
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,"Sedang Rapikan Kayu, Kernet Pikap di Bogor Tewas Usai Diserempet Truk",https://news.detik.com/berita/d-8649941/sedang-rapikan-kayu-kernet-pikap-di-bogor-tewas-usai-diserempet-truk
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,Petugas Gabungan Gagalkan Penyelundupan Ratusan Burung ke Sri Lanka Oleh WNA,https://news.detik.com/berita/d-8649933/petugas-gabungan-gagalkan-penyelundupan-ratusan-burung-ke-sri-lanka-oleh-wna
2026-09-06 02:45:11,detikNews,Berita & Peristiwa,Kemenko Pangan Pastikan Hasil Panen Kedelai Pilot Project Cariu Terserap,https://news.detik.com/berita/d-8649901/kemenko-pangan-pastikan-hasil-panen-kedelai-pilot-project-cariu-terserap
