Waktu Tarik,Sumber,Kategori,Judul,URL,Sentimen,Skor Sentimen,Wilayah,Topik / Kata Kunci,Volume Pencarian,Judul Berita
2026-09-08 11:14:38,Google Trends ID,,,https://www.arsenal.com/news/watch-a-full-match-replay-of-our-chelsea-clash-aoppL8I6BCyE,Positif,35.0,Indonesia,arsenal news,200+,Watch a full match replay of our Chelsea clash
2026-09-08 11:14:38,Google Trends ID,,,https://jatim.idntimes.com/news/jawa-timur/hidup-sebatang-kara-lansia-di-magetan-kini-kehilangan-sandaran-pkh-00-1ggkk-lj40wn,Netral,0.0,Indonesia,lewati,1000+,"Hidup Sebatang Kara, Lansia di Magetan Kini Kehilangan Sandaran PKH"
2026-09-08 11:14:38,Google Trends ID,,,https://cryptonews.net/news/altcoins/33407593/,Positif,25.0,Indonesia,meme,200+,Top 3 Meme Coins to Watch in the Second Week of September
2026-09-08 11:14:38,Google Trends ID,,,https://www.nyc.gov/mayors-office/news/2026/09/mayor-mamdani-and-chancellor-samuels-put-students-first-with-nat,Positif,25.0,Indonesia,classroom,2000+,Mayor Mamdani and Chancellor Samuels Put Students First with Nation’s Broadest Generative AI Moratorium in Schools
2026-09-08 13:36:37,TikTok Trending (News),,,https://news.google.com/rss/articles/CBMiyAFBVV95cUxPQnFMMUVYV3Rua0RwUUhTNVlSVXYwUzY3aXJ3TnRDNG5qUWIzampHNDNtX3RoYkpTd1VaQ0hIR21DSS10MHJ3YVQ5VDJTVWdJS0tVZkpTc2l0QThFUFRDbUlIZ3RXVkVHNy1uZk81ckh0WGhIVkVUakhWMUIwb3Uzb3J0SDQ4eHV3elhoUXJZc0lnRzVZZTVTN0ZXQkVNVmxxeGNjNG5aV3ozcjVzOC1QUl9ILWZSakdZTGlpcGlDWXVGT1YybnBTaw?oc=5,Netral,0.0,Indonesia,Viral TikTok,Trending Sosmed,"Iklan Shopee ‘Kasih Aba-Aba 2.0’ Naykilla & Tenxi Viral di TikTok, Ini Rahasia Suksesnya"
2026-09-08 13:36:37,X (Twitter) Trending,,,https://x.com/search?q=%23LynnShinesBright&src=trend_click,Netral,0.0,Indonesia,#LynnShinesBright,Trending di X,Trending Topic X Indonesia: #LynnShinesBright
2026-09-08 13:36:37,X (Twitter) Trending,,,https://x.com/search?q=PHUWIN%20NYC%20BOUND&src=trend_click,Netral,0.0,Indonesia,PHUWIN NYC BOUND,Trending di X,Trending Topic X Indonesia: PHUWIN NYC BOUND
2026-09-08 13:36:37,X (Twitter) Trending,,,https://x.com/search?q=00.00%20WIB&src=trend_click,Netral,0.0,Indonesia,00.00 WIB,Trending di X,Trending Topic X Indonesia: 00.00 WIB
2026-09-08 13:36:37,Google Trends ID,,,https://bola.kompas.com/read/2026/09/08/05490598/peralta-sebut-persija-vs-persib-mirip-superclasico-river-plate-vs-boca-juniors,Netral,0.0,Indonesia,persib vs persija,100+,Peralta Sebut Persija Vs Persib Mirip Superclasico River Plate Vs Boca Juniors
2026-09-08 13:36:37,Google Trends ID,,,https://www.bareksa.com/berita/saham/2026-09-07/rekomendasi-saham-tim-analis-bareksa-hari-ini-dsng-aces-bsde-begini-prediksi-ihsg,Netral,0.0,Indonesia,saham bumi,500+,"Rekomendasi Saham Tim Analis Bareksa Hari Ini : DSNG, ACES & BSDE, Begini Prediksi IHSG"
